VFD,skip,N,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
gds-native,false,1024,3.686400e+04,16777216,4096,4096,1.222631e-03,2.292170e-04,3.015137e+07,1.608258e+08,dat/79d2b7ed-8f95-417a-ae07-74aeab7f6bda.h5
gds-native,false,2048,7.372800e+04,16777216,4096,4096,3.228180e-04,2.229130e-04,2.283888e+08,3.307479e+08,dat/1ef1dce3-f9f4-4e85-ac92-a8928ddc470e.h5
gds-native,false,4096,1.474560e+05,16777216,4096,4096,3.508180e-04,4.026580e-04,4.203205e+08,3.662066e+08,dat/6d5808ee-8fa9-4e48-bd1c-976a2df6c11e.h5
gds-native,false,8192,2.949120e+05,16777216,4096,4096,3.456970e-04,5.437780e-04,8.530939e+08,5.423390e+08,dat/48a0dc14-4548-47a5-8f21-7f856ab0afa8.h5
gds-native,false,16384,5.898240e+05,16777216,4096,4096,4.367380e-04,1.005283e-03,1.350521e+09,5.867243e+08,dat/d4202df8-03d2-4bbb-8653-962b69da2fb4.h5
gds-native,false,32768,1.179648e+06,16777216,4096,4096,5.026580e-04,1.310853e-03,2.346820e+09,8.999087e+08,dat/bc117fd1-30f2-4aa6-8490-05f152a9b588.h5
gds-native,false,65536,2.359296e+06,16777216,4096,4096,6.193310e-04,1.933191e-03,3.809427e+09,1.220415e+09,dat/aeefab54-0c11-4a93-a3f5-d7b95e9a23de.h5
gds-native,false,131072,4.718592e+06,16777216,4096,4096,9.167710e-04,3.313229e-03,5.146969e+09,1.424167e+09,dat/0d316743-edc6-4946-983a-567da5c341d2.h5
gds-native,false,262144,9.437184e+06,16777216,4096,4096,1.547910e-03,4.451409e-03,6.096727e+09,2.120044e+09,dat/59de1110-5b0e-45c6-9edf-dc121dab3775.h5
gds-native,false,524288,1.887437e+07,16777216,4096,4096,2.711818e-03,7.471708e-03,6.960042e+09,2.526112e+09,dat/09314d0f-9946-46a1-b8f8-28c34e83da97.h5
gds-native,false,1048576,3.774874e+07,16777216,4096,4096,5.089043e-03,1.325771e-02,7.417649e+09,2.847304e+09,dat/b94e3986-3e92-4276-bd2d-20371787dbc6.h5
gds-native,false,2097152,7.549747e+07,16777216,4096,4096,1.090702e-02,2.541379e-02,6.921918e+09,2.970729e+09,dat/bc7a3d63-fdb6-4b6a-855b-ae583aa3d56f.h5
gds-native,false,4194304,1.509949e+08,16777216,4096,4096,2.268985e-02,4.987023e-02,6.654737e+09,3.027757e+09,dat/ab12269f-39ea-4f77-9496-eeca1db475e4.h5
gds-native,false,8388608,3.019899e+08,16777216,4096,4096,4.571406e-02,9.916110e-02,6.606062e+09,3.045447e+09,dat/be000c62-f958-457f-99db-787c82e4309b.h5
gds-native,false,16777216,6.039798e+08,16777216,4096,4096,9.315392e-02,1.978644e-01,6.483676e+09,3.052494e+09,dat/6d569341-9f2c-4ee5-aff7-08a09dcdc9ba.h5
gds-native,false,33554432,1.207960e+09,16777216,4096,4096,1.502270e-01,3.790064e-01,8.040897e+09,3.187175e+09,dat/752746ec-345a-47f7-8674-59ee8440be1a.h5
gds-native,false,67108864,2.415919e+09,16777216,4096,4096,3.001713e-01,7.479611e-01,8.048469e+09,3.230006e+09,dat/d69048ed-43c6-4b9c-ac06-5d1d0270c736.h5
gds-native,false,134217728,4.831838e+09,16777216,4096,4096,5.976143e-01,1.534994e+00,8.085211e+09,3.147790e+09,dat/d29b2b20-6ff2-4cda-8f76-5b1bbf7e1340.h5
gds-compat,false,1024,3.686400e+04,16777216,4096,4096,3.154570e-04,2.224970e-04,1.168590e+08,1.656831e+08,dat/28b8b5c3-908b-4587-b239-61f924d57677.h5
