VFD,skip,N,runs,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) min [s],latency (write) max [s],latency (write) avg [s],latency (read) min [s],latency (read) max [s],latency (read) avg [s],bandwidth (write) min [byte/s],bandwidth (write) max [byte/s],bandwidth (write) avg [byte/s],bandwidth (read) min [byte/s],bandwidth (read) max [byte/s],bandwidth (read) avg [byte/s],latency (compute) min [s],latency (compute) max [s],latency (compute) avg [s],filename
gds,false,1024,3,3.686400e+04,16777216,4096,4096,3.841290e-04,4.942100e-04,4.275747e-04,7.746920e-04,8.220840e-04,7.995667e-04,7.459177e+07,9.596776e+07,8.621652e+07,4.484213e+07,4.758536e+07,4.610497e+07,9.152000e-06,1.158400e-05,1.052800e-05,dat/d9f710a3-e465-4a5f-b596-e6c061d10735.h5
gds,false,2048,3,7.372800e+04,16777216,4096,4096,4.347850e-04,4.752660e-04,4.553083e-04,8.400990e-04,9.658920e-04,9.093047e-04,1.551300e+08,1.695735e+08,1.619298e+08,7.633152e+07,8.776109e+07,8.108173e+07,9.952000e-06,1.168000e-05,1.052800e-05,dat/1f246a52-f5e9-4420-8ae4-396ded428be0.h5
gds,false,4096,3,1.474560e+05,16777216,4096,4096,3.188810e-04,4.913300e-04,4.028497e-04,1.023237e-03,1.047877e-03,1.038181e-03,3.001160e+08,4.624170e+08,3.660323e+08,1.407188e+08,1.441074e+08,1.420330e+08,9.280000e-06,1.196800e-05,1.047467e-05,dat/e58ace6b-eda5-48c2-96e8-4f15ea7e6e89.h5
gds,false,8192,3,2.949120e+05,16777216,4096,4096,4.649300e-04,5.321620e-04,4.898687e-04,9.811560e-04,1.171300e-03,1.102522e-03,5.541771e+08,6.343148e+08,6.020226e+08,2.517818e+08,3.005761e+08,2.674886e+08,9.152000e-06,1.315200e-05,1.074133e-05,dat/4a683c9f-55ce-4ccf-873d-fcfc9d9e783d.h5
gds,false,16384,3,5.898240e+05,16777216,4096,4096,5.611220e-04,5.863390e-04,5.754690e-04,1.446214e-03,1.594439e-03,1.543569e-03,1.005944e+09,1.051151e+09,1.024945e+09,3.699257e+08,4.078401e+08,3.821170e+08,9.760000e-06,1.321600e-05,1.093333e-05,dat/c88adc67-146b-4aa5-a3be-8a4aa95741db.h5
gds,false,32768,3,1.179648e+06,16777216,4096,4096,6.656350e-04,7.345630e-04,6.976670e-04,1.839624e-03,1.984392e-03,1.888061e-03,1.605918e+09,1.772215e+09,1.690847e+09,5.944632e+08,6.412441e+08,6.247934e+08,9.696000e-06,1.139200e-05,1.040000e-05,dat/08aeac10-74c1-48e2-a071-9f43468590bd.h5
gds,false,65536,3,2.359296e+06,16777216,4096,4096,9.008350e-04,9.952360e-04,9.365477e-04,2.224553e-03,2.270249e-03,2.248884e-03,2.370589e+09,2.619010e+09,2.519141e+09,1.039223e+09,1.060571e+09,1.049097e+09,9.568000e-06,1.187200e-05,1.074133e-05,dat/1f0420ed-8277-4bdb-a307-e93e3f236a60.h5
gds,false,131072,3,4.718592e+06,16777216,4096,4096,1.558822e-03,1.672103e-03,1.620209e-03,2.760203e-03,2.864108e-03,2.801611e-03,2.821951e+09,3.027024e+09,2.912335e+09,1.647491e+09,1.709509e+09,1.684242e+09,1.004800e-05,1.216000e-05,1.083733e-05,dat/1c93fd59-42c7-4326-b5b6-dcc75a17f442.h5
gds,false,262144,3,9.437184e+06,16777216,4096,4096,4.299250e-03,4.414194e-03,4.349874e-03,3.669647e-03,3.701775e-03,3.688324e-03,2.137918e+09,2.195077e+09,2.169530e+09,2.549367e+09,2.571687e+09,2.558664e+09,1.078400e-05,1.267200e-05,1.175467e-05,dat/9acf0eb0-26b6-40dc-b18a-4dde6644e4dd.h5
gds,false,524288,3,1.887437e+07,16777216,4096,4096,9.498247e-03,1.006206e-02,9.863485e-03,5.336726e-03,5.433334e-03,5.373921e-03,1.875796e+09,1.987142e+09,1.913560e+09,3.473810e+09,3.536694e+09,3.512216e+09,1.209600e-05,1.411200e-05,1.299200e-05,dat/eeb6584d-4895-470e-82fa-88c4da2aaf8a.h5
