VFD,skip,N,data size [byte],latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
gds-native,false,1024,3.686400e+04,2.054442e-01,3.688585e-03,1.794356e+05,9.994076e+06,./dat/4be468f7-9eab-4ceb-a9e8-6608600b5535.nc
gds-native,false,2048,7.372800e+04,1.380607e-01,3.172743e-03,5.340261e+05,2.323794e+07,./dat/89a4eb7a-dc67-4510-96f2-4067a48e9bbf.nc
gds-native,false,4096,1.474560e+05,1.392445e-01,3.244871e-03,1.058971e+06,4.544279e+07,./dat/a6aa3a6b-8f49-4a66-8c14-3936df99a0e1.nc
gds-native,false,8192,2.949120e+05,1.376298e-01,3.112679e-03,2.142792e+06,9.474539e+07,./dat/00ae8f97-2615-41e2-9dae-b5859a550dd8.nc
gds-native,false,16384,5.898240e+05,1.399474e-01,3.251656e-03,4.214613e+06,1.813919e+08,./dat/7cd8a6ce-45e4-4587-bb1a-d463c5f65995.nc
gds-native,false,32768,1.179648e+06,1.429416e-01,3.142120e-03,8.252655e+06,3.754306e+08,./dat/41ea0c79-9e57-4ffe-848a-7190ed888ab0.nc
gds-native,false,65536,2.359296e+06,1.462074e-01,3.580680e-03,1.613664e+07,6.588961e+08,./dat/fe5573fa-7cf2-4aee-a04b-f0e641d0243f.nc
gds-native,false,131072,4.718592e+06,1.539116e-01,4.171818e-03,3.065782e+07,1.131064e+09,./dat/f851cc32-efb1-4a8e-8f5e-ec494846221b.nc
gds-native,false,262144,9.437184e+06,1.825424e-01,4.582155e-03,5.169858e+07,2.059551e+09,./dat/2a60ac44-f6ff-42f3-b956-6088141b78b0.nc
gds-native,false,524288,1.887437e+07,2.139145e-01,5.418316e-03,8.823322e+07,3.483438e+09,./dat/6740283d-33e6-4d1a-adb4-0989e07a36dd.nc
gds-native,false,1048576,3.774874e+07,2.934898e-01,7.141361e-03,1.286203e+08,5.285930e+09,./dat/176f4658-1b6e-4b6d-b3b3-3ddc50f56da0.nc
gds-native,false,2097152,7.549747e+07,4.462062e-01,1.067171e-02,1.691986e+08,7.074546e+09,./dat/c480b143-8f46-4ef8-8f38-186ef5090fbf.nc
gds-native,false,4194304,1.509949e+08,7.563734e-01,1.718897e-02,1.996301e+08,8.784410e+09,./dat/6c6c7319-99be-477d-a887-3df6673f7e95.nc
gds-native,false,8388608,3.019899e+08,1.390184e+00,3.004353e-02,2.172301e+08,1.005175e+10,./dat/cc789dc8-e068-4fa2-9455-7663e631ffbf.nc
