VFD,skip,N,runs,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) min [s],latency (write) max [s],latency (write) avg [s],latency (read) min [s],latency (read) max [s],latency (read) avg [s],bandwidth (write) min [byte/s],bandwidth (write) max [byte/s],bandwidth (write) avg [byte/s],bandwidth (read) min [byte/s],bandwidth (read) max [byte/s],bandwidth (read) avg [byte/s],filename
gds-native,false,1024,3,3.686400e+04,16777216,4096,4096,3.218890e-04,1.258179e-03,6.344123e-04,1.934080e-04,2.728970e-04,2.242140e-04,2.929949e+07,1.145240e+08,5.810732e+07,1.350839e+08,1.906023e+08,1.644144e+08,dat/638301ab-4119-4fa9-b9b0-607f11fc46ef.h5
gds-native,false,2048,3,7.372800e+04,16777216,4096,4096,2.002560e-04,3.115850e-04,2.533340e-04,1.886730e-04,2.912970e-04,2.273713e-04,2.366224e+08,3.681687e+08,2.910308e+08,2.531025e+08,3.907713e+08,3.242625e+08,dat/66d3ba38-da25-48cd-8167-f48b766c7702.h5
gds-native,false,4096,3,1.474560e+05,16777216,4096,4096,2.642890e-04,3.220490e-04,2.865820e-04,3.146890e-04,5.149780e-04,4.221880e-04,4.578682e+08,5.579347e+08,5.145334e+08,2.863346e+08,4.685769e+08,3.492662e+08,dat/1b1c5bd2-a50c-4676-b650-3bf48212b741.h5
gds-native,false,8192,3,2.949120e+05,16777216,4096,4096,2.330570e-04,3.602250e-04,2.874570e-04,5.035850e-04,5.978900e-04,5.425510e-04,8.186883e+08,1.265407e+09,1.025934e+09,4.932546e+08,5.856251e+08,5.435655e+08,dat/525b03fa-438d-4b87-a6b2-e6bfd862f96c.h5
gds-native,false,16384,3,5.898240e+05,16777216,4096,4096,3.184650e-04,4.019530e-04,3.496757e-04,9.620510e-04,9.818910e-04,9.749043e-04,1.467395e+09,1.852084e+09,1.686775e+09,6.007021e+08,6.130902e+08,6.050071e+08,dat/3d5bac48-2b19-4923-8e05-5b2fdba80a42.h5
gds-native,false,32768,3,1.179648e+06,16777216,4096,4096,3.208000e-04,4.736020e-04,3.902090e-04,1.239012e-03,1.300356e-03,1.265774e-03,2.490800e+09,3.677207e+09,3.023118e+09,9.071731e+08,9.520876e+08,9.319576e+08,dat/39cf1ca5-a079-44cb-a2ba-dbdc2f832873.h5
gds-native,false,65536,3,2.359296e+06,16777216,4096,4096,4.706250e-04,6.234580e-04,5.427217e-04,1.926981e-03,2.020230e-03,1.983248e-03,3.784210e+09,5.013112e+09,4.347156e+09,1.167835e+09,1.224348e+09,1.189612e+09,dat/843761c0-4362-4be9-91ec-c4e1ece0f89e.h5
gds-native,false,131072,3,4.718592e+06,16777216,4096,4096,7.853780e-04,9.387860e-04,8.452607e-04,3.356393e-03,3.379657e-03,3.366686e-03,5.026270e+09,6.008052e+09,5.582410e+09,1.396175e+09,1.405852e+09,1.401554e+09,dat/53e66ba1-60a7-48b9-9dca-56522d4efd7b.h5
gds-native,false,262144,3,9.437184e+06,16777216,4096,4096,1.152771e-03,1.585508e-03,1.367566e-03,4.325900e-03,4.429740e-03,4.386433e-03,5.952152e+09,8.186521e+09,6.900714e+09,2.130415e+09,2.181554e+09,2.151448e+09,dat/cb48130b-f0ab-4c88-bc2e-085215d45aab.h5
gds-native,false,524288,3,1.887437e+07,16777216,4096,4096,1.981829e-03,2.757448e-03,2.387303e-03,7.250836e-03,7.422484e-03,7.308639e-03,6.844868e+09,9.523712e+09,7.906148e+09,2.542864e+09,2.603061e+09,2.582474e+09,dat/f83686de-7da6-4785-85fe-6de7e6770c0d.h5
gds-native,false,1048576,3,3.774874e+07,16777216,4096,4096,4.644173e-03,6.063440e-03,5.504452e-03,1.298173e-02,1.321373e-02,1.307162e-02,6.225630e+09,8.128193e+09,6.857855e+09,2.856781e+09,2.907835e+09,2.887839e+09,dat/c3f7dd5d-652e-40c8-8c21-85be42080997.h5
gds-native,false,2097152,3,7.549747e+07,16777216,4096,4096,9.942076e-03,1.210400e-02,1.116119e-02,2.513837e-02,2.536452e-02,2.525029e-02,6.237398e+09,7.593733e+09,6.764283e+09,2.976499e+09,3.003276e+09,2.989965e+09,dat/56af8ab3-4918-4a59-ac17-d629b3e19a5c.h5
gds-native,false,4194304,3,1.509949e+08,16777216,4096,4096,2.270633e-02,2.380285e-02,2.328941e-02,4.986004e-02,5.001102e-02,4.991552e-02,6.343566e+09,6.649904e+09,6.483417e+09,3.019234e+09,3.028376e+09,3.025010e+09,dat/b8b27ffb-722d-4221-81e8-a0b0e8adae0b.h5
gds-native,false,8388608,3,3.019899e+08,16777216,4096,4096,4.622409e-02,4.700838e-02,4.659617e-02,9.725384e-02,9.891313e-02,9.827433e-02,6.424171e+09,6.533170e+09,6.481002e+09,3.053082e+09,3.105172e+09,3.072928e+09,dat/ee01c5c5-8ba0-4c83-9043-1e34dd62eca4.h5
gds-native,false,16777216,3,6.039798e+08,16777216,4096,4096,9.296995e-02,9.488173e-02,9.371850e-02,1.971338e-01,1.977000e-01,1.974139e-01,6.365606e+09,6.496505e+09,6.444616e+09,3.055032e+09,3.063806e+09,3.059460e+09,dat/13111d2e-b746-4fc0-a7c0-020d3f2fabc9.h5
gds-native,false,33554432,3,1.207960e+09,16777216,4096,4096,1.391236e-01,3.433669e-01,2.108055e-01,3.772638e-01,3.780908e-01,3.777076e-01,3.517985e+09,8.682635e+09,5.730208e+09,3.194893e+09,3.201896e+09,3.198134e+09,dat/34a87ce2-344f-4eaa-840b-99228a23a94e.h5
gds-native,false,67108864,3,2.415919e+09,16777216,4096,4096,2.614240e-01,3.840484e-01,3.027326e-01,7.700797e-01,7.737924e-01,7.716719e-01,6.290663e+09,9.241383e+09,7.980373e+09,3.122180e+09,3.137233e+09,3.130760e+09,dat/590740b7-5a66-45de-a498-7b048daa192e.h5
gds-native,false,134217728,3,4.831838e+09,16777216,4096,4096,5.534545e-01,6.826151e-01,6.015783e-01,1.526637e+00,1.540610e+00,1.531805e+00,7.078423e+09,8.730326e+09,8.031935e+09,3.136315e+09,3.165021e+09,3.154342e+09,dat/ab733352-8c51-4620-ab66-a03b9f662ce6.h5
gds-compat,false,1024,3,3.686400e+04,16777216,4096,4096,2.723210e-04,3.010250e-04,2.844277e-04,1.714570e-04,1.944970e-04,1.860063e-04,1.224616e+08,1.353697e+08,1.296076e+08,1.895351e+08,2.150043e+08,1.981868e+08,dat/6f2aa357-083f-40b5-ab8f-4d3564f295ba.h5
gds-compat,false,2048,3,7.372800e+04,16777216,4096,4096,2.469450e-04,2.950730e-04,2.647367e-04,1.888650e-04,2.305600e-04,2.086833e-04,2.498636e+08,2.985604e+08,2.784956e+08,3.197779e+08,3.903741e+08,3.533009e+08,dat/604389e8-02d9-4f15-9856-f28e64888156.h5
gds-compat,false,4096,3,1.474560e+05,16777216,4096,4096,2.518410e-04,3.097610e-04,2.756380e-04,4.103370e-04,4.381770e-04,4.211107e-04,4.760315e+08,5.855123e+08,5.349625e+08,3.365215e+08,3.593534e+08,3.501597e+08,dat/c7dbad99-7026-4e14-bb14-9d08d093fe13.h5
gds-compat,false,8192,3,2.949120e+05,16777216,4096,4096,2.770560e-04,3.812810e-04,3.194140e-04,5.654730e-04,6.439380e-04,5.954573e-04,7.734768e+08,1.064449e+09,9.232908e+08,4.579820e+08,5.215315e+08,4.952697e+08,dat/e4ca0e25-06e0-40f2-89ba-13859d259786.h5
gds-compat,false,16384,3,5.898240e+05,16777216,4096,4096,3.036490e-04,4.514890e-04,3.567583e-04,9.634580e-04,1.014787e-03,9.874583e-04,1.306397e+09,1.942453e+09,1.653287e+09,5.812294e+08,6.121948e+08,5.973153e+08,dat/0928798b-0b17-4a92-a540-aa9aaf09e538.h5
