VFD,skip,N,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
gds-native,false,1024,3.686400e+04,16777216,4096,4096,1.228931e-03,2.452810e-04,2.999680e+07,1.502929e+08,dat/2ed1e662-6c0b-4cc6-9e3e-b747ea3cb680.h5
gds-native,false,2048,7.372800e+04,16777216,4096,4096,3.462090e-04,4.659210e-04,2.129581e+08,1.582414e+08,dat/7c616432-c738-46c7-8e20-8284f3955c74.h5
gds-native,false,4096,1.474560e+05,16777216,4096,4096,3.369290e-04,2.179850e-04,4.376471e+08,6.764502e+08,dat/adb27b3d-3127-422b-8fbc-9c38f0acc715.h5
gds-native,false,8192,2.949120e+05,16777216,4096,4096,3.400330e-04,2.519360e-04,8.673041e+08,1.170583e+09,dat/25bccba4-2e50-41c8-a85f-6f51d269f63a.h5
gds-native,false,16384,5.898240e+05,16777216,4096,4096,3.867520e-04,3.247370e-04,1.525070e+09,1.816313e+09,dat/2d497f85-ab34-4c02-b909-1b6a6fde7882.h5
gds-native,false,32768,1.179648e+06,16777216,4096,4096,4.823690e-04,3.744010e-04,2.445530e+09,3.150761e+09,dat/fafa661e-1b56-4d22-adaa-fec0b9481ccb.h5
gds-native,false,65536,2.359296e+06,16777216,4096,4096,6.300180e-04,5.117450e-04,3.744807e+09,4.610296e+09,dat/e93386ca-d702-402e-bae5-d64a9d6d4d6f.h5
gds-native,false,131072,4.718592e+06,16777216,4096,4096,9.179540e-04,8.361940e-04,5.140336e+09,5.642939e+09,dat/b8152611-b30d-4299-899d-2cb3da086f46.h5
gds-native,false,262144,9.437184e+06,16777216,4096,4096,1.499779e-03,1.411651e-03,6.292383e+09,6.685210e+09,dat/ae752cb6-f55f-425b-b2a0-8bdf5693a6ce.h5
gds-native,false,524288,1.887437e+07,16777216,4096,4096,2.682438e-03,2.532070e-03,7.036274e+09,7.454126e+09,dat/a5663520-3477-412b-8122-f51fadc63527.h5
gds-native,false,1048576,3.774874e+07,16777216,4096,4096,5.107148e-03,4.835659e-03,7.391353e+09,7.806327e+09,dat/3e8802fc-92ca-4093-9cd2-5289642bce37.h5
gds-native,false,2097152,7.549747e+07,16777216,4096,4096,1.080364e-02,9.369142e-03,6.988151e+09,8.058099e+09,dat/cb26debe-bb2b-4fbf-9067-c54f1beba545.h5
gds-native,false,4194304,1.509949e+08,16777216,4096,4096,2.240370e-02,1.852251e-02,6.739732e+09,8.151971e+09,dat/d8ba3418-dcf0-446c-9bba-1461016f8861.h5
gds-native,false,8388608,3.019899e+08,16777216,4096,4096,4.558731e-02,3.543848e-02,6.624429e+09,8.521524e+09,dat/45c1bccf-717c-45e5-84c2-19537d9229ec.h5
gds-native,false,16777216,6.039798e+08,16777216,4096,4096,9.251475e-02,7.064586e-02,6.528470e+09,8.549401e+09,dat/90936a95-b62b-4e3d-b565-c9f518d85fcf.h5
gds-native,false,33554432,1.207960e+09,16777216,4096,4096,1.475800e-01,1.158021e-01,8.185119e+09,1.043124e+10,dat/f0104949-8681-465e-9a23-5e442b176be3.h5
gds-native,false,67108864,2.415919e+09,16777216,4096,4096,2.969590e-01,2.048517e-01,8.135532e+09,1.179350e+10,dat/d715b0d9-2391-4d8a-9749-ee11b8fd0a00.h5
gds-native,false,134217728,4.831838e+09,16777216,4096,4096,5.835053e-01,4.935934e-01,8.280710e+09,9.789107e+09,dat/32a4f63a-36d7-45eb-814b-56886ffd16d0.h5
gds-compat,false,1024,3.686400e+04,16777216,4096,4096,3.177610e-04,2.151370e-04,1.160117e+08,1.713513e+08,dat/22f50faa-fa1d-4f5a-afad-af1cf7585cfd.h5
gds-compat,false,2048,7.372800e+04,16777216,4096,4096,3.070730e-04,3.911050e-04,2.400993e+08,1.885120e+08,dat/8e13b5f7-9db0-4a0e-9293-4875f3ec34ea.h5
gds-compat,false,4096,1.474560e+05,16777216,4096,4096,3.121290e-04,2.612810e-04,4.724201e+08,5.643579e+08,dat/88f83fa5-e74a-4382-a0c8-05fd4e8c6d9b.h5
gds-compat,false,8192,2.949120e+05,16777216,4096,4096,3.434880e-04,2.562250e-04,8.585802e+08,1.150988e+09,dat/0011697c-6745-4268-b4bf-21714cf50647.h5
gds-compat,false,16384,5.898240e+05,16777216,4096,4096,3.959370e-04,2.774400e-04,1.489692e+09,2.125952e+09,dat/05c866bb-9852-4b33-9aa4-1a52229db828.h5
gds-compat,false,32768,1.179648e+06,16777216,4096,4096,4.476490e-04,3.554570e-04,2.635207e+09,3.318680e+09,dat/0bc99d3c-2b64-4656-ad48-c1ae89aa69b4.h5
gds-compat,false,65536,2.359296e+06,16777216,4096,4096,6.975690e-04,5.301770e-04,3.382169e+09,4.450016e+09,dat/ff812a39-9cfc-4e35-b507-09e67c8dfc2e.h5
gds-compat,false,131072,4.718592e+06,16777216,4096,4096,9.336990e-04,8.057300e-04,5.053654e+09,5.856294e+09,dat/2aae594f-2015-4571-945b-469e649ce3db.h5
gds-compat,false,262144,9.437184e+06,16777216,4096,4096,1.580804e-03,1.405508e-03,5.969863e+09,6.714429e+09,dat/ebea6485-345f-483a-81ae-82f981e07145.h5
gds-compat,false,524288,1.887437e+07,16777216,4096,4096,2.713831e-03,2.623207e-03,6.954880e+09,7.195150e+09,dat/4a797d7b-3a37-4547-9cb3-f29d4e041b09.h5
gds-compat,false,1048576,3.774874e+07,16777216,4096,4096,5.257868e-03,4.932876e-03,7.179476e+09,7.652480e+09,dat/9ba56f8c-2afa-4e50-8b51-0e52f95f7793.h5
gds-compat,false,2097152,7.549747e+07,16777216,4096,4096,1.116847e-02,9.779640e-03,6.759874e+09,7.719862e+09,dat/bfb92b71-e178-481f-97b8-10c0e68f4490.h5
gds-compat,false,4194304,1.509949e+08,16777216,4096,4096,2.255100e-02,1.865137e-02,6.695710e+09,8.095648e+09,dat/79fe6e58-0513-4097-9dda-2e1c5dd9f72c.h5
gds-compat,false,8388608,3.019899e+08,16777216,4096,4096,4.642523e-02,3.674466e-02,6.504866e+09,8.218605e+09,dat/cd51ed37-df82-42c8-a016-b0960729c005.h5
gds-compat,false,16777216,6.039798e+08,16777216,4096,4096,9.319366e-02,7.321480e-02,6.480910e+09,8.249422e+09,dat/c19cbfbe-ec76-4feb-9c00-759bbecdfe87.h5
gds-compat,false,33554432,1.207960e+09,16777216,4096,4096,1.465168e-01,1.179910e-01,8.244514e+09,1.023773e+10,dat/7d11a9df-6623-421a-bf74-d9df52ef00c2.h5
gds-compat,false,67108864,2.415919e+09,16777216,4096,4096,2.579123e-01,2.059379e-01,9.367212e+09,1.173130e+10,dat/bea81637-a26a-44e2-a9bb-f18b0a0f6608.h5
gds-compat,false,134217728,4.831838e+09,16777216,4096,4096,6.003460e-01,4.970635e-01,8.048422e+09,9.720766e+09,dat/1c0969ad-24ff-4b1a-aa6a-bec8f372b8e8.h5
sec2,false,1024,3.686400e+04,16777216,4096,4096,7.964800e-05,6.201600e-05,4.628365e+08,5.944272e+08,dat/559fdc43-85bd-4be0-96fa-567617e787a8.h5
sec2,false,2048,7.372800e+04,16777216,4096,4096,8.921600e-05,7.401700e-05,8.263989e+08,9.960955e+08,dat/39225106-e333-4395-83c4-d3bf906722dd.h5
sec2,false,4096,1.474560e+05,16777216,4096,4096,1.141450e-04,7.948800e-05,1.291831e+09,1.855072e+09,dat/03eb4146-b8bd-4934-b662-4a4be63a0ad3.h5
sec2,false,8192,2.949120e+05,16777216,4096,4096,1.286080e-04,1.016010e-04,2.293108e+09,2.902649e+09,dat/86df98d1-6b3d-4439-a3ba-2f7a1f8c3603.h5
sec2,false,16384,5.898240e+05,16777216,4096,4096,1.722240e-04,1.264320e-04,3.424749e+09,4.665148e+09,dat/133aba94-3c11-4a2b-a7f5-41a77a6da82c.h5
sec2,false,32768,1.179648e+06,16777216,4096,4096,2.369280e-04,2.088000e-04,4.978930e+09,5.649655e+09,dat/c0d0f1e3-b4d6-4731-bcc9-6baf5e84166a.h5
sec2,false,65536,2.359296e+06,16777216,4096,4096,4.066570e-04,3.520010e-04,5.801685e+09,6.702526e+09,dat/8f444f5e-f103-4393-825f-998a465e6be5.h5
sec2,false,131072,4.718592e+06,16777216,4096,4096,6.901130e-04,6.636500e-04,6.837419e+09,7.110061e+09,dat/a814a875-04d6-443b-8c67-681096cbf0ae.h5
sec2,false,262144,9.437184e+06,16777216,4096,4096,1.298371e-03,1.281507e-03,7.268480e+09,7.364130e+09,dat/523bf3ef-ae63-472a-88d5-67f6484d9a1f.h5
sec2,false,524288,1.887437e+07,16777216,4096,4096,2.501350e-03,2.455621e-03,7.545673e+09,7.686189e+09,dat/70734375-da75-49de-bb83-39fb0af99942.h5
sec2,false,1048576,3.774874e+07,16777216,4096,4096,5.016652e-03,4.880139e-03,7.524687e+09,7.735176e+09,dat/1a55675d-6dbf-4e75-af82-eafe24f368df.h5
sec2,false,2097152,7.549747e+07,16777216,4096,4096,1.066361e-02,9.496088e-03,7.079917e+09,7.950376e+09,dat/91e94046-3b83-4ad9-adea-10a317647d56.h5
sec2,false,4194304,1.509949e+08,16777216,4096,4096,2.240668e-02,1.864091e-02,6.738837e+09,8.100193e+09,dat/f679f36b-994c-4722-8040-b758d57a59ed.h5
sec2,false,8388608,3.019899e+08,16777216,4096,4096,4.567115e-02,3.645020e-02,6.612268e+09,8.284999e+09,dat/3257f8be-e6d5-4221-8b38-4e803218c9ce.h5
sec2,false,16777216,6.039798e+08,16777216,4096,4096,9.294746e-02,7.245989e-02,6.498077e+09,8.335367e+09,dat/d169616b-48fa-41c6-8a54-a7ad79b9d97f.h5
sec2,false,33554432,1.207960e+09,16777216,4096,4096,1.476674e-01,1.178625e-01,8.180271e+09,1.024889e+10,dat/e3e2214e-7486-4b5c-bcda-a2e8d7dfdf9d.h5
sec2,false,67108864,2.415919e+09,16777216,4096,4096,2.601112e-01,2.633589e-01,9.288026e+09,9.173484e+09,dat/7480a51f-dcfa-4627-800f-56d39ca3d98c.h5
sec2,false,134217728,4.831838e+09,16777216,4096,4096,5.872658e-01,4.969813e-01,8.227686e+09,9.722375e+09,dat/35490604-dca1-446a-a744-78b0878f4657.h5
direct,false,1024,3.686400e+04,16777216,4096,4096,3.961610e-04,6.045130e-04,9.305308e+07,6.098132e+07,dat/a8a77d4e-43ae-40fe-a6ec-e40d48a15bfd.h5
direct,false,2048,7.372800e+04,16777216,4096,4096,4.255370e-04,1.552320e-04,1.732587e+08,4.749536e+08,dat/f7d9e9e1-394e-4063-befe-cabb6c77ea79.h5
direct,false,4096,1.474560e+05,16777216,4096,4096,4.499850e-04,8.577620e-04,3.276909e+08,1.719078e+08,dat/47a88507-fcbb-47ef-8129-605e28650454.h5
direct,false,8192,2.949120e+05,16777216,4096,4096,5.096970e-04,1.007843e-03,5.786026e+08,2.926170e+08,dat/7593b8dc-9bd6-4d7e-b24e-b2019061e67b.h5
direct,false,16384,5.898240e+05,16777216,4096,4096,5.880660e-04,1.253475e-03,1.002989e+09,4.705511e+08,dat/fbc1d64f-4890-4ce6-b8e5-bfcb12092126.h5
direct,false,32768,1.179648e+06,16777216,4096,4096,8.154580e-04,1.941733e-03,1.446608e+09,6.075233e+08,dat/e6d506c2-20aa-419c-aeb8-271d42948728.h5
direct,false,65536,2.359296e+06,16777216,4096,4096,1.184548e-03,2.469830e-03,1.991727e+09,9.552463e+08,dat/d8a95f67-de94-49b2-aafc-05db30446201.h5
direct,false,131072,4.718592e+06,16777216,4096,4096,1.909477e-03,3.217961e-03,2.471144e+09,1.466330e+09,dat/bbee7101-3d1d-44ae-8dea-62a1e09c36cc.h5
direct,false,262144,9.437184e+06,16777216,4096,4096,3.507049e-03,4.873068e-03,2.690919e+09,1.936600e+09,dat/25cff751-b542-4aba-b2b0-b8da38b0ed68.h5
direct,false,524288,1.887437e+07,16777216,4096,4096,7.778453e-03,7.875892e-03,2.426494e+09,2.396474e+09,dat/b5f11f72-0006-449c-9783-05a872e68603.h5
direct,false,1048576,3.774874e+07,16777216,4096,4096,1.725288e-02,1.412432e-02,2.187968e+09,2.672605e+09,dat/ef6797d2-2b0c-44ca-a3c2-481b6e221dfd.h5
direct,false,2097152,7.549747e+07,16777216,4096,4096,3.553219e-02,2.650196e-02,2.124763e+09,2.848751e+09,dat/5d7dce96-5dd3-4f5a-932e-e6af52960f51.h5
direct,false,4194304,1.509949e+08,16777216,4096,4096,7.230909e-02,5.181550e-02,2.088188e+09,2.914089e+09,dat/ca66fc69-2102-4f51-83d9-b2e95aa0156f.h5
direct,false,8388608,3.019899e+08,16777216,4096,4096,1.483580e-01,1.031914e-01,2.035548e+09,2.926503e+09,dat/23aa578e-4c92-4ebd-9eec-a2230df14971.h5
direct,false,16777216,6.039798e+08,16777216,4096,4096,3.015863e-01,2.050999e-01,2.002677e+09,2.944808e+09,dat/ed5a4164-2f43-477b-9618-25f84712149d.h5
direct,false,33554432,1.207960e+09,16777216,4096,4096,5.520069e-01,3.888183e-01,2.188305e+09,3.106745e+09,dat/707818f4-eac8-45df-8ea7-ced14892ca71.h5
direct,false,67108864,2.415919e+09,16777216,4096,4096,1.098368e+00,7.529997e-01,2.199554e+09,3.208393e+09,dat/2f7f2315-2c96-4bc9-aa1a-cb058b4a4b44.h5
