VFD,skip,N,runs,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) min [s],latency (write) max [s],latency (write) avg [s],latency (read) min [s],latency (read) max [s],latency (read) avg [s],bandwidth (write) min [byte/s],bandwidth (write) max [byte/s],bandwidth (write) avg [byte/s],bandwidth (read) min [byte/s],bandwidth (read) max [byte/s],bandwidth (read) avg [byte/s],latency (compute) min [s],latency (compute) max [s],latency (compute) avg [s],filename
gds-native,false,1024,3,3.686400e+04,16777216,4096,4096,1.831680e-04,2.980800e-04,2.314987e-04,1.940800e-04,2.051840e-04,1.995200e-04,1.236715e+08,2.012579e+08,1.592407e+08,1.796631e+08,1.899423e+08,1.847634e+08,9.632000e-06,1.177600e-05,1.036800e-05,dat/9fc4913e-1f85-4416-bf9a-c41aa55267b2.h5
gds-native,false,2048,3,7.372800e+04,16777216,4096,4096,1.786880e-04,3.076800e-04,2.540157e-04,1.809600e-04,1.905920e-04,1.870720e-04,2.396256e+08,4.126074e+08,2.902498e+08,3.868368e+08,4.074271e+08,3.941156e+08,9.152000e-06,1.228800e-05,1.048533e-05,dat/ccf1e63d-089c-43c3-92d1-8cc1b963d6f1.h5
gds-native,false,4096,3,1.474560e+05,16777216,4096,4096,1.802240e-04,2.718720e-04,2.133867e-04,3.795520e-04,4.141760e-04,3.990507e-04,5.423729e+08,8.181818e+08,6.910272e+08,3.560226e+08,3.885001e+08,3.695170e+08,9.920000e-06,6.006400e-05,2.734933e-05,dat/862cf1f9-83cc-4956-90af-b0a99bab7158.h5
gds-native,false,8192,3,2.949120e+05,16777216,4096,4096,2.350720e-04,2.511680e-04,2.431253e-04,5.133760e-04,5.391040e-04,5.266773e-04,1.174162e+09,1.254560e+09,1.213004e+09,5.470410e+08,5.744561e+08,5.599482e+08,1.081600e-05,4.572800e-05,2.366933e-05,dat/5b739d9d-6954-47e8-85ae-f7f6be8df3ed.h5
gds-native,false,16384,3,5.898240e+05,16777216,4096,4096,2.161600e-04,3.152640e-04,2.782933e-04,9.493760e-04,9.808950e-04,9.661223e-04,1.870889e+09,2.728645e+09,2.119433e+09,6.013121e+08,6.212754e+08,6.105065e+08,1.161600e-05,4.486400e-05,2.408533e-05,dat/8da63810-2729-47d8-aebe-88e66e534461.h5
gds-native,false,32768,3,1.179648e+06,16777216,4096,4096,2.841920e-04,3.851200e-04,3.485970e-04,1.237472e-03,1.282496e-03,1.254442e-03,3.063066e+09,4.150884e+09,3.383988e+09,9.198064e+08,9.532725e+08,9.403764e+08,1.228800e-05,1.271680e-04,5.170133e-05,dat/cd2471be-6830-49a7-8eb1-da1d65892b4d.h5
gds-native,false,65536,3,2.359296e+06,16777216,4096,4096,4.016630e-04,4.788480e-04,4.479890e-04,1.926591e-03,2.032831e-03,1.976735e-03,4.927025e+09,5.873820e+09,5.266415e+09,1.160596e+09,1.224596e+09,1.193532e+09,1.376000e-05,1.295360e-04,5.262933e-05,dat/6b0a4779-dfdb-4b2e-9f86-36191301be9f.h5
gds-native,false,131072,3,4.718592e+06,16777216,4096,4096,6.137270e-04,6.633600e-04,6.378340e-04,3.247807e-03,3.300831e-03,3.278228e-03,7.113169e+09,7.688422e+09,7.397837e+09,1.429516e+09,1.452855e+09,1.439373e+09,2.140800e-05,4.400000e-04,2.180373e-04,dat/37dc5488-e4e6-4097-ba41-c9ee5fd2e713.h5
gds-native,false,262144,3,9.437184e+06,16777216,4096,4096,1.053119e-03,1.595647e-03,1.316276e-03,4.134462e-03,4.407262e-03,4.265065e-03,5.914331e+09,8.961175e+09,7.169607e+09,2.141280e+09,2.282566e+09,2.212671e+09,1.209600e-05,3.071670e-04,1.112103e-04,dat/368d5600-75c8-4126-a4ec-dc86fb596f32.h5
gds-native,false,524288,3,1.887437e+07,16777216,4096,4096,1.801279e-03,1.887327e-03,1.844970e-03,6.643293e-03,7.426397e-03,7.000882e-03,1.000058e+10,1.047831e+10,1.023018e+10,2.541524e+09,2.841116e+09,2.695998e+09,2.857600e-05,1.130015e-03,7.400423e-04,dat/92616dd6-6e6a-474a-8415-5cdd9dd1782e.h5
