VFD,skip,N,runs,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) min [s],latency (write) max [s],latency (write) avg [s],latency (read) min [s],latency (read) max [s],latency (read) avg [s],bandwidth (write) min [byte/s],bandwidth (write) max [byte/s],bandwidth (write) avg [byte/s],bandwidth (read) min [byte/s],bandwidth (read) max [byte/s],bandwidth (read) avg [byte/s],latency (compute) min [s],latency (compute) max [s],latency (compute) avg [s],filename
gds-native,false,1024,3,3.686400e+04,16777216,4096,4096,1.813430e-04,3.136310e-04,2.333430e-04,1.837760e-04,1.956480e-04,1.889490e-04,1.175394e+08,2.032833e+08,1.579820e+08,1.884200e+08,2.005920e+08,1.951003e+08,9.152000e-06,1.113600e-05,1.017600e-05,dat/b4326d45-b516-4b6a-aeb0-839067e8665d.h5
gds-native,false,2048,3,7.372800e+04,16777216,4096,4096,2.029110e-04,2.765120e-04,2.308477e-04,1.816310e-04,1.971520e-04,1.879673e-04,2.666358e+08,3.633514e+08,3.193794e+08,3.739653e+08,4.059219e+08,3.922384e+08,9.440000e-06,1.187200e-05,1.063467e-05,dat/e18f9621-2f99-44f1-a811-9eca96c10626.h5
gds-native,false,4096,3,1.474560e+05,16777216,4096,4096,2.498870e-04,2.726390e-04,2.615673e-04,3.781120e-04,4.075190e-04,3.909647e-04,5.408471e+08,5.900907e+08,5.637401e+08,3.618383e+08,3.899797e+08,3.771594e+08,9.376000e-06,1.129600e-05,1.030400e-05,dat/8df5660d-b322-4900-b644-1ea65ccdb62b.h5
gds-native,false,8192,3,2.949120e+05,16777216,4096,4096,2.292480e-04,3.152630e-04,2.596473e-04,4.849590e-04,5.807670e-04,5.224950e-04,9.354475e+08,1.286432e+09,1.135818e+09,5.077974e+08,6.081174e+08,5.644303e+08,9.184000e-06,1.116800e-05,1.025067e-05,dat/d03dba60-ec1a-4d54-a9d0-d26df5a4a147.h5
gds-native,false,16384,3,5.898240e+05,16777216,4096,4096,2.559670e-04,3.356160e-04,3.049060e-04,9.464620e-04,9.892450e-04,9.610110e-04,1.757437e+09,2.304297e+09,1.934445e+09,5.962365e+08,6.231883e+08,6.137536e+08,1.040000e-05,1.347200e-05,1.174400e-05,dat/a697b663-8209-416a-a41b-e264f2992fdc.h5
gds-native,false,32768,3,1.179648e+06,16777216,4096,4096,3.032950e-04,4.016950e-04,3.402017e-04,1.216125e-03,1.291261e-03,1.248786e-03,2.936676e+09,3.889441e+09,3.467496e+09,9.135628e+08,9.700056e+08,9.446356e+08,9.984000e-06,1.177600e-05,1.073067e-05,dat/8b3e8f09-d7dc-43ad-926f-affea338accf.h5
gds-native,false,65536,3,2.359296e+06,16777216,4096,4096,4.709110e-04,4.733750e-04,4.719137e-04,1.878619e-03,2.056955e-03,1.983611e-03,4.983989e+09,5.010068e+09,4.999423e+09,1.146985e+09,1.255867e+09,1.189394e+09,9.472000e-06,1.171200e-05,1.038933e-05,dat/0a8ad102-d149-42d4-8294-6aa9a4bf47b3.h5
gds-native,false,131072,3,4.718592e+06,16777216,4096,4096,7.424940e-04,8.060460e-04,7.654380e-04,3.307257e-03,3.342328e-03,3.320451e-03,5.853998e+09,6.355057e+09,6.164565e+09,1.411768e+09,1.426739e+09,1.421069e+09,1.014400e-05,1.235200e-05,1.097600e-05,dat/efec49d5-7db5-4862-8fcc-296ec4701907.h5
gds-native,false,262144,3,9.437184e+06,16777216,4096,4096,1.201021e-03,1.306686e-03,1.237437e-03,4.104182e-03,4.418518e-03,4.291585e-03,7.222228e+09,7.857634e+09,7.626393e+09,2.135826e+09,2.299407e+09,2.198997e+09,1.062400e-05,1.328000e-05,1.168000e-05,dat/4a5fa3b8-5957-4b1b-9585-0a5eedb376c9.h5
gds-native,false,524288,3,1.887437e+07,16777216,4096,4096,1.950011e-03,2.044699e-03,1.989126e-03,6.789456e-03,7.345872e-03,7.144122e-03,9.230878e+09,9.679108e+09,9.488776e+09,2.569384e+09,2.779953e+09,2.641944e+09,1.283200e-05,1.462400e-05,1.344000e-05,dat/219d0c98-2cdb-4be1-9f3d-e9743de8b8e2.h5
gds-native,false,1048576,3,3.774874e+07,16777216,4096,4096,3.655032e-03,4.166295e-03,3.856130e-03,1.287383e-02,1.308922e-02,1.301427e-02,9.060505e+09,1.032788e+10,9.789279e+09,2.883957e+09,2.932208e+09,2.900564e+09,1.584000e-05,1.731200e-05,1.641600e-05,dat/4941faf4-4aa7-4b6a-ba93-cf49aeabd6ff.h5
gds-native,false,2097152,3,7.549747e+07,16777216,4096,4096,8.837068e-03,1.108062e-02,1.001265e-02,2.528791e-02,2.534241e-02,2.531873e-02,6.813473e+09,8.543272e+09,7.540209e+09,2.979096e+09,2.985516e+09,2.981883e+09,2.592000e-05,2.822400e-05,2.722133e-05,dat/ae3d098f-065a-4d5e-868d-39dd1aac7fab.h5
gds-native,false,4194304,3,1.509949e+08,16777216,4096,4096,2.245233e-02,2.384958e-02,2.332477e-02,4.982933e-02,5.011067e-02,4.997432e-02,6.331137e+09,6.725134e+09,6.473588e+09,3.013229e+09,3.030242e+09,3.021451e+09,4.128000e-05,4.320000e-05,4.243200e-05,dat/17f78fc5-08e0-4625-b63d-b36b82a11542.h5
gds-native,false,8388608,3,3.019899e+08,16777216,4096,4096,4.596687e-02,4.655452e-02,4.623058e-02,9.891411e-02,9.934749e-02,9.914597e-02,6.486801e+09,6.569729e+09,6.532253e+09,3.039734e+09,3.053052e+09,3.045912e+09,7.286300e-05,7.449600e-05,7.381300e-05,dat/a20f7e9b-7eaf-48a3-9a2d-1a0afb65f3f0.h5
gds-native,false,16777216,3,6.039798e+08,16777216,4096,4096,9.219214e-02,9.342462e-02,9.264939e-02,1.956228e-01,1.975515e-01,1.967381e-01,6.464889e+09,6.551315e+09,6.518983e+09,3.057328e+09,3.087472e+09,3.069968e+09,1.333430e-04,1.374080e-04,1.350610e-04,dat/34e93d27-fc3b-4f92-a4b8-c0cd7b44dfdf.h5
gds-native,false,33554432,3,1.207960e+09,16777216,4096,4096,1.402560e-01,1.427928e-01,1.411900e-01,3.908519e-01,3.938299e-01,3.920768e-01,8.459529e+09,8.612536e+09,8.555558e+09,3.067211e+09,3.090581e+09,3.080926e+09,1.027582e-03,1.075847e-02,6.659782e-03,dat/979b301e-95d9-45aa-85d5-1c828fe131bb.h5
gds-native,false,67108864,3,2.415919e+09,16777216,4096,4096,3.126561e-01,3.156789e-01,3.141012e-01,7.409882e-01,7.416541e-01,7.413113e-01,7.653091e+09,7.727081e+09,7.691530e+09,3.257474e+09,3.260402e+09,3.258981e+09,1.758460e-03,5.729737e-02,2.832852e-02,dat/6e739e5a-9ae2-4715-a1b3-ec0c8190e7e9.h5
gds-native,false,134217728,3,4.831838e+09,16777216,4096,4096,6.296399e-01,7.441327e-01,6.688773e-01,1.526258e+00,1.526964e+00,1.526514e+00,6.493248e+09,7.673971e+09,7.223803e+09,3.164343e+09,3.165806e+09,3.165275e+09,3.312888e-03,6.212479e-02,4.211759e-02,dat/e0494622-654f-4795-b91e-5aa6ded90355.h5
gds-compat,false,1024,3,3.686400e+04,16777216,4096,4096,1.844150e-04,2.814390e-04,2.302497e-04,2.001590e-04,2.098560e-04,2.043300e-04,1.309840e+08,1.998970e+08,1.601045e+08,1.756633e+08,1.841736e+08,1.804140e+08,9.631000e-06,1.302400e-05,1.089033e-05,dat/a4a36aa6-a054-4822-8a2c-c079db6bbe31.h5
gds-compat,false,2048,3,7.372800e+04,16777216,4096,4096,1.874880e-04,2.668160e-04,2.325650e-04,1.889600e-04,2.139510e-04,2.002233e-04,2.763253e+08,3.932412e+08,3.170210e+08,3.446023e+08,3.901778e+08,3.682288e+08,9.888000e-06,1.286400e-05,1.096533e-05,dat/c6d4dd0d-e1f2-41c6-b8f7-c0906c2d31e1.h5
gds-compat,false,4096,3,1.474560e+05,16777216,4096,4096,1.904640e-04,2.545920e-04,2.237543e-04,3.778870e-04,4.144950e-04,4.016630e-04,5.791855e+08,7.741935e+08,6.590085e+08,3.557486e+08,3.902119e+08,3.671137e+08,9.760000e-06,1.353600e-05,1.116800e-05,dat/2e08e89e-e4cc-4730-b691-1a669fe97f66.h5
gds-compat,false,8192,3,2.949120e+05,16777216,4096,4096,2.315200e-04,2.877110e-04,2.654500e-04,5.736950e-04,5.835830e-04,5.784843e-04,1.025029e+09,1.273808e+09,1.110989e+09,5.053471e+08,5.140571e+08,5.098012e+08,9.536000e-06,1.180800e-05,1.070933e-05,dat/5d3804ff-6980-4291-a2eb-77ec668cc987.h5
gds-compat,false,16384,3,5.898240e+05,16777216,4096,4096,3.156470e-04,3.286720e-04,3.226770e-04,9.665580e-04,1.030110e-03,1.007027e-03,1.794567e+09,1.868619e+09,1.827908e+09,5.725835e+08,6.102314e+08,5.857082e+08,1.008000e-05,1.334400e-05,1.133867e-05,dat/c5ad9529-b4e6-40a8-8085-11843291e5c8.h5
