VFD,skip,N,runs,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) min [s],latency (write) max [s],latency (write) avg [s],latency (read) min [s],latency (read) max [s],latency (read) avg [s],bandwidth (write) min [byte/s],bandwidth (write) max [byte/s],bandwidth (write) avg [byte/s],bandwidth (read) min [byte/s],bandwidth (read) max [byte/s],bandwidth (read) avg [byte/s],latency (compute) min [s],latency (compute) max [s],latency (compute) avg [s],filename
gds-native,false,1024,3,3.686400e+04,16777216,4096,4096,5.842870e-04,6.714870e-04,6.390283e-04,8.985590e-04,9.634540e-04,9.320303e-04,5.489905e+07,6.309228e+07,5.768758e+07,3.826234e+07,4.102569e+07,3.955236e+07,9.440000e-06,1.331200e-05,1.078400e-05,dat/a12dd46b-ef27-430a-b421-73a27f3e317d.h5
gds-native,false,2048,3,7.372800e+04,16777216,4096,4096,5.393590e-04,6.097270e-04,5.800203e-04,5.288950e-04,1.102782e-03,9.039770e-04,1.209197e+08,1.366956e+08,1.271128e+08,6.685637e+07,1.394001e+08,8.155960e+07,9.440000e-06,1.257600e-05,1.049600e-05,dat/9328668a-d2f0-47c2-9951-fd42b72e1a09.h5
gds-native,false,4096,3,1.474560e+05,16777216,4096,4096,4.776310e-04,6.346870e-04,5.649800e-04,1.080989e-03,1.149470e-03,1.120200e-03,2.323287e+08,3.087237e+08,2.609933e+08,1.282817e+08,1.364084e+08,1.316336e+08,9.216000e-06,1.369600e-05,1.085867e-05,dat/788db8d6-2ce9-4210-a4bc-b8cb240abd7a.h5
gds-native,false,8192,3,2.949120e+05,16777216,4096,4096,5.666230e-04,6.263350e-04,6.021000e-04,1.287837e-03,1.357085e-03,1.325885e-03,4.708535e+08,5.204730e+08,4.898057e+08,2.173128e+08,2.289979e+08,2.224265e+08,9.568000e-06,1.484800e-05,1.164800e-05,dat/5804ee33-fa8b-4e79-a8b6-c94cb5fa2a32.h5
gds-native,false,16384,3,5.898240e+05,16777216,4096,4096,6.169590e-04,7.084790e-04,6.729587e-04,1.322974e-03,1.749532e-03,1.536871e-03,8.325215e+08,9.560181e+08,8.764639e+08,3.371324e+08,4.458319e+08,3.837823e+08,9.280000e-06,1.315200e-05,1.077333e-05,dat/8d98868d-ce28-42fc-8b11-e1865d0e025e.h5
gds-native,false,32768,3,1.179648e+06,16777216,4096,4096,7.644140e-04,9.085420e-04,8.542593e-04,1.791356e-03,2.092635e-03,1.951430e-03,1.298397e+09,1.543206e+09,1.380902e+09,5.637142e+08,6.585224e+08,6.045044e+08,9.536000e-06,1.420800e-05,1.141333e-05,dat/b8266444-7fe6-4e11-a99a-5a36e181b9c8.h5
gds-native,false,65536,3,2.359296e+06,16777216,4096,4096,9.707820e-04,1.154013e-03,1.083358e-03,2.309883e-03,2.410778e-03,2.354896e-03,2.044428e+09,2.430305e+09,2.177763e+09,9.786451e+08,1.021392e+09,1.001869e+09,9.536000e-06,1.289600e-05,1.088000e-05,dat/62f9e391-4d23-4b6d-8a6f-5d5c541ad789.h5
gds-native,false,131072,3,4.718592e+06,16777216,4096,4096,1.538333e-03,1.710428e-03,1.607698e-03,3.183481e-03,3.271161e-03,3.233177e-03,2.758720e+09,3.067341e+09,2.935000e+09,1.442482e+09,1.482211e+09,1.459429e+09,9.888000e-06,1.350400e-05,1.133867e-05,dat/33c53173-45cd-4c59-a57a-bb23f6b1b2d6.h5
gds-native,false,262144,3,9.437184e+06,16777216,4096,4096,4.142487e-03,4.331798e-03,4.218241e-03,5.693587e-03,5.781748e-03,5.736830e-03,2.178584e+09,2.278145e+09,2.237232e+09,1.632237e+09,1.657511e+09,1.645017e+09,1.056000e-05,1.443200e-05,1.206400e-05,dat/02dcae9e-7335-4bb7-9ad6-84725a5c11be.h5
gds-native,false,524288,3,1.887437e+07,16777216,4096,4096,8.472813e-03,8.631694e-03,8.553325e-03,1.111706e-02,1.134039e-02,1.121108e-02,2.186635e+09,2.227639e+09,2.206670e+09,1.664349e+09,1.697784e+09,1.683546e+09,1.219200e-05,1.600000e-05,1.373867e-05,dat/dcd8b582-a1cc-4e5e-9dc8-76f54852b75c.h5
